154.88 -55.48 104.96
154.79 -55.46 104.99
154.76 -55.50 105.01
154.81 -55.50 104.92
154.83 -55.56 104.90
154.82 -55.60 104.92
154.74 -55.58 104.97
154.70 -55.59 104.98
154.75 -55.65 104.91
154.78 -55.66 104.85
154.86 -55.72 104.75
154.81 -55.75 104.78
154.73 -55.68 104.88
154.60 -55.63 105.00
154.54 -55.59 104.99
154.60 -55.64 104.93
154.65 -55.72 104.88
154.55 -55.74 104.97
154.51 -55.77 104.99
154.37 -55.79 105.09
154.39 -55.84 105.08
154.42 -55.90 105.03
154.45 -55.94 105.00
154.46 -55.95 104.96
154.48 -55.97 104.91
154.48 -55.92 104.86
154.52 -55.89 104.82
154.50 -55.88 104.85
154.47 -55.83 104.87
154.45 -55.79 104.89
154.50 -55.73 104.82
154.57 -55.73 104.73
154.57 -55.72 104.73
154.53 -55.67 104.80
154.45 -55.56 104.87
154.40 -55.52 104.92
154.43 -55.55 104.91
154.46 -55.56 104.90
154.40 -55.54 104.96
154.27 -55.54 105.04
154.21 -55.61 105.08
154.20 -55.67 105.07
154.18 -55.72 105.10
154.19 -55.76 105.07
154.14 -55.76 105.15
154.23 -55.86 105.13
154.27 -55.89 105.08
154.24 -55.83 105.04
154.16 -55.88 105.16
154.17 -55.90 105.15
154.24 -55.88 105.03
154.28 -55.93 104.96
154.28 -55.89 104.94
154.28 -55.89 104.94
154.27 -55.96 104.95
154.29 -55.97 104.88
154.31 -55.92 104.84
154.30 -55.92 104.85
154.27 -55.85 104.88
154.30 -55.86 104.77
154.36 -55.89 104.71
154.30 -55.83 104.77
154.16 -55.78 104.94
153.98 -55.69 105.09
153.81 -55.62 105.26
153.68 -55.56 105.36
153.61 -55.47 105.44
153.47 -55.33 105.54
153.32 -55.20 105.72
153.07 -55.03 105.97
152.72 -54.87 106.39
152.54 -54.68 106.63
152.51 -54.67 106.73
152.49 -54.65 106.76
152.37 -54.63 106.91
152.33 -54.53 107.05
151.97 -54.26 107.51
151.53 -53.88 108.13
151.03 -53.37 108.91
150.49 -52.83 109.78
149.91 -52.17 110.90
149.33 -51.34 112.10
148.62 -50.25 113.44
147.86 -49.05 114.71
146.97 -47.67 116.16
146.07 -46.21 117.49
145.10 -44.67 118.92
144.12 -43.23 120.39
143.19 -41.75 121.83
142.37 -40.33 122.95
141.54 -38.74 124.03
140.73 -37.26 124.86
139.83 -35.76 125.73
138.94 -34.41 126.74
137.99 -33.04 127.88
137.18 -31.66 128.82
136.26 -30.15 129.76
135.43 -28.78 130.62
134.46 -27.33 131.61
133.65 -25.95 132.56
132.88 -24.56 133.34
132.22 -23.15 134.10
131.52 -21.80 134.97
130.87 -20.42 135.92
130.45 -18.88 136.75
129.84 -17.01 137.46
129.28 -15.26 138.21
128.65 -13.45 138.97
128.37 -11.66 139.59
127.97 -9.87 140.38
127.54 -8.10 141.28
127.03 -5.91 142.24
126.65 -3.68 142.97
126.23 -1.42 143.67
125.77 0.59 144.45
125.73 2.57 145.43
125.45 4.63 146.08
125.10 6.92 146.55
124.72 9.13 146.91
124.40 11.37 147.45
124.07 13.51 147.77
123.87 15.43 148.14
123.85 17.39 148.40
123.51 19.58 148.54
123.23 21.57 148.87
122.91 23.69 149.38
122.95 25.88 149.71
122.75 27.98 149.88
122.56 29.98 149.94
122.37 31.67 150.15
122.29 33.47 150.48
122.13 35.29 150.77
122.02 37.25 151.05
121.89 38.92 151.07
121.68 40.56 151.01
121.55 42.08 151.11
121.47 43.55 151.50
121.50 44.94 151.88
121.33 46.23 151.98
121.18 47.21 151.99
120.99 48.24 152.08
120.86 49.30 152.19
120.68 50.36 152.15
120.49 51.48 152.13
120.06 52.73 151.83
119.47 53.72 151.08
118.61 54.70 149.96
117.83 55.98 148.90
117.39 57.01 148.31
117.27 57.75 148.16
117.24 58.41 148.21
117.41 58.67 148.40
117.80 58.34 148.67
118.29 57.69 149.10
118.82 57.04 149.63
119.10 56.46 149.91
119.33 55.96 150.16
119.55 55.45 150.40
119.60 54.94 150.38
119.43 54.47 149.88
119.35 54.04 149.31
119.44 53.59 149.06
119.93 53.07 149.45
120.63 52.32 150.11
120.82 51.56 149.77
121.10 50.45 149.16
121.64 49.22 149.19
122.29 47.74 149.48
122.84 46.49 149.69
123.18 44.59 149.23
123.47 42.65 148.76
124.01 40.28 148.55
124.67 37.95 148.32
125.01 35.60 147.51
125.61 33.12 146.85
126.34 30.41 146.46
127.17 27.60 146.16
127.56 25.07 145.39
128.27 22.46 144.83
128.98 19.85 144.68
129.83 16.95 144.56
130.47 14.64 144.13
131.14 12.19 143.95
131.74 10.05 143.52
132.21 7.69 143.29
132.84 5.32 143.36
133.44 3.11 142.70
133.97 1.23 141.17
134.54 -1.26 140.79
135.12 -3.61 141.34
135.98 -5.80 141.22
136.26 -7.50 139.83
136.70 -9.52 138.46
137.17 -12.05 139.04
137.96 -14.55 138.46
138.56 -16.08 136.81
139.28 -17.89 135.03
139.85 -20.27 134.09
140.49 -22.77 133.63
141.19 -24.99 132.94
141.73 -27.05 132.18
142.02 -28.75 131.47
142.32 -30.40 130.48
142.77 -32.23 129.38
143.29 -34.00 128.38
144.18 -35.78 127.01
145.01 -37.34 125.35
145.85 -39.20 124.15
146.52 -41.08 123.45
147.55 -42.86 122.15
148.65 -44.52 120.85
149.92 -46.09 119.34
151.12 -47.25 117.69
152.14 -48.55 116.31
152.99 -49.82 115.43
153.83 -50.86 114.58
154.54 -51.59 113.75
155.24 -52.22 112.77
155.63 -52.72 112.07
155.97 -53.15 111.57
156.34 -53.45 111.24
